,utc_timestamp,local_timestamp,caid,id_type,location_name,top_category,sub_category,street_address,city,state,naics_code,brands,zip_code,minimum_dwell,safegraph_place_id,geohash_5,census_block_group,placekey
640,1672536335,1672511135,71a4caa3e9e354921f0a8d7748b8d0d9dd135d9de5b512247867ab86be41b4e3,aaid,home,,,,salida,colorado,,,81201,39.0,home,9wueh,080150002003,
641,1672538816,1672510016,da053a375ec33855222afe07bbb2a4641a9065dcac239edeb563669cc1a8e082,aaid,home,,,,,washington,,,98311,34.0,home,c22yc,530350916002,
642,1672550216,1672521416,da053a375ec33855222afe07bbb2a4641a9065dcac239edeb563669cc1a8e082,aaid,home,,,,,washington,,,98311,219.0,home,c22yc,530350916002,
643,1672564496,1672535696,da053a375ec33855222afe07bbb2a4641a9065dcac239edeb563669cc1a8e082,aaid,home,,,,,washington,,,98311,31.0,home,c22yc,530350916002,
644,1672533254,1672515254,ae38a5d59540c1b5499886e12feba49a4eb55d636b94ad921c16f24aca13d3b2,idfa,home,,,,new york,new york,,,11693,5.0,home,dr5wb,360810942031,
645,1672558636,1672540636,ae38a5d59540c1b5499886e12feba49a4eb55d636b94ad921c16f24aca13d3b2,idfa,home,,,,new york,new york,,,11693,298.0,home,dr5wb,360810942031,
646,1672598115,1672580115,ae38a5d59540c1b5499886e12feba49a4eb55d636b94ad921c16f24aca13d3b2,idfa,home,,,,new york,new york,,,11693,225.0,home,dr5wb,360810942031,
647,1672575119,1672553519,944ef5721e4a14fc2bc13d48571c56996bfce5cb1b35a8f809a97572de96d388,aaid,home,,,,victoria,minnesota,,,55386,22.0,home,9zvrh,270190904022,
648,1672556873,1672538873,c6f107ac9d59a2259b2e2b630c325d5366c5db3d922ec6120a01cd115128113f,aaid,home,,,,east windsor township,new jersey,,,08512,212.0,home,dr4vp,340210044062,
649,1672542537,1672520937,5137048f12ce8549a23ab24b3995e5dee0cefc2c59df80db2be981ea568d519f,aaid,home,,,,eureka springs,arkansas,,,72632,1066.0,home,9ymr6,050159501001,
650,1672555858,1672534258,0d627c79dabe5447be6955638788cbdec29a594b51ef7f0cc3b0a856cf62606d,aaid,home,,,,missouri city,texas,,,77071,7.0,home,9vk0d,482014236004,
651,1672587090,1672565490,dc14ea716bd7937f23247fea825b22f796b84c5ea0c6524ed37cba5adab8968f,idfa,home,,,,perryton,texas,,,79070,285.0,home,9y2r1,483579504003,
652,1672616831,1672595231,dc14ea716bd7937f23247fea825b22f796b84c5ea0c6524ed37cba5adab8968f,idfa,home,,,,perryton,texas,,,79070,11.0,home,9y2r1,483579504003,
653,1672531295,1672509695,db2229871d8c8b7adf34f98a471ca419d17bccf2b34601a2c1d9d1e03ff8947d,aaid,home,,,,springfield,illinois,,,62704,840.0,home,dp04p,171670020002,
654,1672599705,1672578105,db2229871d8c8b7adf34f98a471ca419d17bccf2b34601a2c1d9d1e03ff8947d,aaid,home,,,,springfield,illinois,,,62704,240.0,home,dp04p,171670020002,
655,1672610499,1672581699,55e201d3a60821f41dec2c4dea8b967d0a0ab6941fa0dcff178d86d723c6ad37,aaid,home,,,,temecula,california,,,92592,23.0,home,9muwx,060650432652,
656,1672537588,1672508788,4b78e99e05c054ebc977de8c9827a689dfaf3421ea51a87bf0833e135e748e15,aaid,home,,,,spokane valley,washington,,,99206,16.0,home,c2kx5,530630125001,
657,1672541145,1672523145,0835ccd983944759c5711324c9a49521db4ff931bb53daec9371350b123cf423,aaid,home,,,,martinsburg,west virginia,,,25401,7.0,home,dr083,540039716002,
658,1672556820,1672538820,0835ccd983944759c5711324c9a49521db4ff931bb53daec9371350b123cf423,aaid,home,,,,martinsburg,west virginia,,,25401,6.0,home,dr083,540039716002,
659,1672596069,1672578069,0835ccd983944759c5711324c9a49521db4ff931bb53daec9371350b123cf423,aaid,home,,,,martinsburg,west virginia,,,25401,219.0,home,dr083,540039716002,
660,1672584082,1672566082,60dcee375fdacb137c117d755982955e57782e6b02ca4faf0ad5bd1688e81497,aaid,home,,,,,georgia,,,30115,12.0,home,dn5fw,130570906021,
661,1672567074,1672545474,d6c6a83ce8c372108cd4f20f6c3ab4e8e8e9007b0c1def0c659906ba414ee8e1,aaid,home,,,,black jack,missouri,,,63033,301.0,home,9yzu9,291892108064,
662,1672531992,1672510392,1240465657fa950cbccd4d84fa3c6d3b84b2a02a6cc4b210de21824224e1b9f7,idfa,home,,,,freeport,florida,,,32439,10.0,home,dj6tx,121319503024,
663,1672541620,1672520020,693b89e894792a05318803fe90e62db15be97f5782e065c36684c706ebe3dc04,aaid,home,,,,victoria,texas,,,77904,491.0,home,9v5h0,484690016062,
664,1672612488,1672598088,87eff869a46d7216a6a25183ce128a187f42b6eb8d2e0b12d21a1e04e34acba5,aaid,home,,,,contorno,puerto rico,,,00953,32.0,home,de2bs,721355103002,
665,1672592461,1672570861,3fc1b4e55c8c9ecbb20a8fa106bf6a70dce86c255cff4039dcfdae34ca9bb4a9,aaid,home,,,,la porte,indiana,,,46350,398.0,home,dp6ke,180910422001,
666,1672561290,1672532490,e5df6dd053e1d22b990f08ead2658bd8e5a0e38f29cbcc2bafdfc3c413d057c0,idfa,home,,,,san jose,california,,,95126,35.0,home,9q9k3,060855019001,
667,1672557356,1672535756,7b4eb402d259c6cc812c09895aa72a93b3f9914a5a6f4c87eca9f5515a8e2cc1,idfa,home,,,,cedar hill,texas,,,75104,37.0,home,9vg13,481130166263,
668,1672532649,1672514649,a59da30ded1e5f5c96380a56234d0789dc7a859264afaa2732c15fbfb136fcdf,aaid,home,,,,jacksonville,florida,,,32254,92.0,home,djmus,120310027011,
669,1672545135,1672527135,a59da30ded1e5f5c96380a56234d0789dc7a859264afaa2732c15fbfb136fcdf,aaid,home,,,,jacksonville,florida,,,32254,5.0,home,djmus,120310027011,
670,1672555109,1672537109,a59da30ded1e5f5c96380a56234d0789dc7a859264afaa2732c15fbfb136fcdf,aaid,home,,,,jacksonville,florida,,,32254,332.0,home,djmus,120310027011,
671,1672531253,1672513253,ddc1e9f3c7dfbdd169b9b82e789c7775eb790831aeae463b123f9928dd471e03,aaid,home,,,,bailey's crossroads,virginia,,,22041,842.0,home,dqchv,510594528022,
672,1672551334,1672533334,4c800d49374b715408d482f422fbbed0f09b7347e3cb625db9a52d2bbe1eed6e,idfa,home,,,,,virginia,,,22407,89.0,home,dqbcf,511770201063,
673,1672538494,1672516894,18caff66ae50b04ce6a5272eb31089effa81db64988c74a8470265706778f959,aaid,home,,,,des moines,iowa,,,50316,283.0,home,9zmkt,191530048002,
674,1672536289,1672511089,bed8d397a94573e44a092dc5bdf7ec698e582d43862c7cdfb9739443558696f4,aaid,home,,,,albuquerque,new mexico,,,87120,21.0,home,9wk0h,350010047231,
675,1672554057,1672518057,d51c05264df9e5e545e003b6bfd490612738103cc933fddcd16f23bf1da87e60,idfa,home,,,,lihue,hawaii,,,96766,4.0,home,87ytj,150070405003,
676,1672552899,1672534899,11d400c5b2b923be63e0343d2fe3bf041e8306daba14e92952162f0217107c70,aaid,home,,,,kernersville,north carolina,,,27284,633.0,home,dnrj3,370670032013,
